team,short_range_fgm,short_range_fga,short_range_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,long_range_fgm,long_range_fga,long_range_fg_pct,three_range_fgm,three_range_fga,three_range_fg_pct,season
Oklahoma City Thunder,19.6,34,57.6,6.2,14,44.6,3.5,7.4,46.8,10.7,29.8,35.8,2019
Orlando Magic,19.4,33.9,57.2,5.7,14.1,40.4,3.2,8.4,38,11,31.8,34.7,2019
Philadelphia 76ers,21,35.3,59.4,5.4,13.3,40.7,3.1,7.7,39.9,11.6,31.4,37,2019
Phoenix Suns,21.1,35.8,58.8,5.9,13.5,43.9,2.8,7.1,40.1,11.4,31.6,36,2019
Portland Trail Blazers,19.7,34.5,57.1,5.7,13.8,41.5,3.9,8.8,44.3,12.8,33.9,37.9,2019
Sacramento Kings,20.6,35.2,58.5,4.8,11.7,41,2.8,6.6,42.3,12.7,34.8,36.5,2019
San Antonio Spurs,18.2,30.9,59,7.7,17,45.1,5.6,13.1,42.6,10.7,28.2,37.9,2019
Toronto Raptors,22.2,38.8,57.1,2.4,7,34.9,1.8,5.2,34.9,13.8,36.7,37.6,2019
Utah Jazz,20.1,34.4,58.3,4.9,11.4,43,1.8,4.1,42.7,13.3,34.9,38.3,2019
Washington Wizards,20.6,35.7,57.8,5,12.5,39.9,3.9,10.2,38.5,12,32.3,37.1,2019
Atlanta Hawks,22.7,39.9,56.7,4.1,10.5,38.9,1.7,4.4,37.9,13,36.7,35.3,2018
Boston Celtics,19.6,32.8,59.8,5.9,13.4,44,4,9.9,40.7,12.6,34.4,36.6,2018
Brooklyn Nets,21.6,39,55.5,4.3,10.3,41.4,1.7,4.4,38.3,12.7,35.9,35.4,2018
Charlotte Hornets,20.6,37.6,54.9,4.7,10.8,43.7,3,7.5,39.5,11.9,33.5,35.5,2018
Chicago Bulls,22.5,40.6,55.5,5,12.6,39.6,3.3,8.8,36.8,9.1,25.7,35.3,2018
Cleveland Cavaliers,19.3,35.5,54.4,5.7,13.8,41.3,3.5,9.2,38.7,10.3,29,35.6,2018
Dallas Mavericks,19.8,33.8,58.7,4.4,10.8,40.8,2.1,5.7,36.7,12.5,36.2,34.4,2018
Denver Nuggets,23,40.1,57.3,5.5,12.2,44.6,2.6,6.5,39.7,10.9,31,35.2,2018
Detroit Pistons,20.6,37.8,54.4,3.5,9.3,37.5,2.7,6.4,41.9,12.1,34.4,35.2,2018
Golden State Warriors,18.9,29.6,63.8,6.2,13.3,46.7,5.7,12.4,45.7,13.2,34.2,38.7,2018
Houston Rockets,19.6,33.6,58.3,2.5,6.2,40.6,1,2.2,45.3,16.1,45.2,35.6,2018
Indiana Pacers,22.1,38.1,57.9,4.3,10.3,41.8,5.5,13.3,41.3,9.5,25.2,37.6,2018
LA Clippers,22.4,40,55.9,5.6,13.1,42.3,3.4,8.7,38.6,10,25.5,39.1,2018
Los Angeles Lakers,25.7,43,59.9,3.5,9.4,37.1,3,7.3,41.7,10.3,30.8,33.5,2018
Memphis Grizzlies,19.9,35.2,56.5,5,12.3,40.6,3.2,8,39.5,9.9,28.7,34.4,2018
Miami Heat,21.8,37.6,57.9,4.5,12.4,36.5,2,5.7,35.9,11.3,32.1,35.2,2018
Milwaukee Bucks,24.6,39.9,61.7,3.4,8.2,41.5,1.9,4.9,38.4,13.5,38,35.4,2018
Minnesota Timberwolves,22.3,39.1,57,5,12.4,40.3,4.3,11.1,38.9,10,28.4,35.2,2018
New Orleans Pelicans,25.6,42.9,59.7,5.6,13.1,42.7,2.2,6.4,34.9,10.2,29.6,34.4,2018
New York Knicks,19.6,36.1,54.4,4.4,11.9,36.7,4.2,10.8,38.7,10,29.3,34.1,2018
Oklahoma City Thunder,23.5,41,57.2,4.9,12.8,38,3,7.5,39.1,11.3,32.3,35.1,2018
Orlando Magic,19.4,33.4,58.1,5,12.1,41.3,4.6,11.5,40,11.4,31.8,35.9,2018
Philadelphia 76ers,21.9,36.5,60.2,5.2,12.7,41.2,3.6,9,39.9,10.8,30,36.1,2018
Phoenix Suns,21.4,36.6,58.5,5.9,13.5,43.7,3.2,8.1,39.9,9.6,29,33.1,2018
Portland Trail Blazers,22.4,39.2,57,4.7,10.8,43.9,4.2,9.8,42.6,11,30.6,36,2018
Sacramento Kings,22.7,39.9,56.9,5.3,13.6,39.3,3.9,9.7,39.6,11.3,29.7,38,2018
San Antonio Spurs,18.2,30.5,59.5,8,18.1,44.1,6.2,14.5,43,9.9,25,39.5,2018
Toronto Raptors,22,37.2,59.1,4.7,10.7,43.5,3.2,7.4,43,12.4,33.6,36.8,2018
Utah Jazz,22.5,37.8,59.5,3.5,9,39.3,2.3,5.5,41.2,12.1,33.8,35.8,2018
Washington Wizards,23.1,37.4,61.7,4.1,10.4,39.9,3.6,9,39.8,11.3,33.1,34.2,2018
Atlanta Hawks,18.3,32.8,55.7,4.4,11.3,39.1,4.3,10.5,41.2,11.1,30.6,36.4,2017
Boston Celtics,17.5,32.4,54.2,5,12.1,41.1,4.4,10.2,42.7,11.4,30.1,38,2017
Brooklyn Nets,19.5,35.1,55.5,4.2,10.6,39.2,1.9,5.4,35.2,12.7,35.4,35.8,2017
Charlotte Hornets,19,33.8,56.2,5.5,13.6,40.3,4.4,12,37,10,26.9,37.3,2017
Chicago Bulls,18.5,34.2,54.2,4.5,11.6,39.1,4.5,12,37.8,11,30.9,35.8,2017
Cleveland Cavaliers,20.4,32.3,63,4.1,10.2,40.7,3.9,10.2,38.7,11.9,31.9,37.4,2017
Dallas Mavericks,17.1,29.8,57.6,4.5,11.5,38.5,4.8,11.8,40.5,11.8,32.5,36.2,2017
Denver Nuggets,22.2,38.6,57.6,4.5,10.7,42.2,2.5,6.4,39,11.5,30.5,37.5,2017
Detroit Pistons,19,34.9,54.4,5.4,13.1,41.5,3.9,10.1,38.6,10.8,28.6,37.7,2017
Golden State Warriors,18.9,29.5,64.2,6.9,14.5,47.6,5.7,12.3,46.3,11.3,28.5,39.5,2017
Houston Rockets,18.9,31.5,59.9,3,6.8,43.6,1.6,3.7,43.2,15.3,42.1,36.4,2017
Indiana Pacers,19.9,34.5,57.8,4.9,10.9,44.8,7,16.5,42.2,9,24.2,37.2,2017
LA Clippers,23.9,40.8,58.5,4,10.1,39.7,2.9,7.8,37.8,9.5,26.6,35.6,2017
Los Angeles Lakers,23.7,40.4,58.7,3.8,10.5,36,3.2,8.5,37.8,10,28.8,34.7,2017
Memphis Grizzlies,19,34.5,55.2,4.1,11.1,37,4.4,10.9,40,9.2,25.9,35.6,2017
Miami Heat,20.1,34.8,57.8,4.4,11,40.1,3.3,8.9,36.6,11,30.3,36.3,2017
Milwaukee Bucks,21,35.2,59.7,5.7,12.6,45,4.3,10.6,40.6,8.7,24.5,35.7,2017
Minnesota Timberwolves,21.5,36,59.8,6.3,14.8,42.6,5.2,12.9,40.2,8,22.3,35.9,2017
New Orleans Pelicans,23.2,38.2,60.6,5.5,12.3,44.8,3.8,9.6,39.5,10.2,28,36.4,2017
New York Knicks,19.9,34.4,57.9,7,16.1,43.4,5.6,13.9,40,8.2,23.1,35.6,2017
Oklahoma City Thunder,20,34,58.7,4.6,11.5,40,4.6,12.2,37.8,10.7,30.1,35.6,2017
Orlando Magic,20,34.1,58.7,4.6,12.9,36,3.9,9.7,40.2,10.3,29.1,35.3,2017
Philadelphia 76ers,21.1,34.9,60.6,4.8,12.6,38.3,3.9,9.3,42,11,29.6,37.2,2017
Phoenix Suns,20.4,36.6,55.7,5.3,13.3,39.9,3.4,9.3,37,9.3,27.7,33.6,2017
Portland Trail Blazers,19,35.2,53.9,5.4,12.6,42.9,4.6,11,41.8,10.3,28.1,36.7,2017
Sacramento Kings,18.5,33.9,54.7,5.7,14.6,38.8,5.6,13.8,40.8,9,23.6,38,2017
San Antonio Spurs,18.9,32.8,57.5,6.8,16.2,42,4.9,12.3,40,8.5,23.8,35.5,2017
Toronto Raptors,22,36.9,59.8,4.7,11.1,42.3,2.7,6.6,41.7,11.8,32.6,36.1,2017
Utah Jazz,19.4,33.3,58.4,4.4,11.1,39.4,3.7,9,40.9,10.8,29.4,36.8,2017
Washington Wizards,17.9,30.4,59,6.9,16,43.4,5.2,12.8,40.3,9.9,26.2,37.8,2017
Atlanta Hawks,19.7,35.2,56,4,10.3,38.7,5.5,12.8,42.9,8.9,25.8,34.4,2016
Boston Celtics,19.4,34,56.9,3.4,8.2,41.8,3.8,9.5,40.6,12,33.1,36.2,2016
Brooklyn Nets,21,38,55.3,3.9,9.6,40.3,2.2,5.9,37.6,10.7,31.3,34.1,2016
Charlotte Hornets,18,32.3,55.7,4.8,11.5,41.4,4.9,13,38,10,28.4,35.4,2016
Chicago Bulls,20,35.7,55.9,5.2,13.5,38.6,5.9,15.6,37.7,7.6,22.2,34.3,2016
Cleveland Cavaliers,18.7,31.4,59.5,4.1,9.9,41.4,4.1,9.7,42.7,13,33.7,38.6,2016
Dallas Mavericks,14.1,24.7,57.1,5.3,11.8,44.6,6.1,15.6,39,10.7,29.9,35.8,2016
Denver Nuggets,23.4,40.4,57.8,3.5,9,38.5,3.8,9.5,39.7,10.6,28.5,37.2,2016
Detroit Pistons,19.1,34.9,54.7,7.3,16.6,43.8,5.8,13.9,41.6,7.7,22.9,33.5,2016
Golden State Warriors,20.9,33,63.4,4.9,11.5,42.3,5.3,11.3,46.8,12,30.8,38.8,2016
Houston Rockets,22.2,37,60,2.1,5.5,37.7,1.6,4.4,37.4,14.4,40,35.9,2016
Indiana Pacers,18.8,33.1,56.7,5,11.9,41.7,6.9,16.5,41.8,8.5,22.6,37.8,2016
LA Clippers,18.6,31.1,59.7,3.5,8.3,42.5,7.2,16.4,43.8,10.1,26.8,37.8,2016
Los Angeles Lakers,21.7,39,55.8,4.7,12.4,37.7,4,10.3,39,8.8,25.2,34.9,2016
Memphis Grizzlies,18.6,35,53,3.9,10,38.6,4.6,12,38.1,9.3,26,35.9,2016
Miami Heat,20,35.5,56.4,4.8,12,39.8,4.4,11.3,38.8,9.8,26.7,36.8,2016
Milwaukee Bucks,23.3,40.4,57.6,3.4,8.9,37.6,3.4,8.8,38.7,8.7,23.4,37.2,2016
Minnesota Timberwolves,21.4,36.8,58.3,4.4,10.9,39.9,6.3,15.7,40.3,7.3,20.8,35.1,2016
New Orleans Pelicans,20,36,55.7,4.8,11.2,42.9,4.9,13,38,9.3,26.6,35.2,2016
New York Knicks,18.4,34.5,53.4,6.2,14.2,43.6,6.4,15.2,42,8.6,24.4,35.2,2016
Oklahoma City Thunder,23,40.5,56.7,4.5,11.6,38.4,3.6,9.5,37.9,8.4,25.6,32.8,2016
Orlando Magic,18.8,33.6,56,5.6,13.6,40.9,5.3,13.7,39.1,8.5,25.7,33.2,2016
Philadelphia 76ers,20.7,36.8,56.3,3.9,10.2,38,2.9,8.5,34.5,10.1,29.5,34.1,2016
Phoenix Suns,21,37.1,56.7,5.9,14.2,41.5,5.5,14.6,37.3,7.5,22.3,33.6,2016
Portland Trail Blazers,19.1,35,54.6,4.7,10.7,44.4,5.3,12.7,41.8,10.4,27.5,37.7,2016
Sacramento Kings,19.3,34.4,56.3,4.4,11.1,39.8,5.1,12.7,40.2,8.9,23.6,37.8,2016
San Antonio Spurs,17.9,31,57.7,5.4,13.3,40.3,6.9,15.9,43.3,9.2,23.3,39.4,2016
Toronto Raptors,19.3,34,56.8,5.8,13.1,43.9,5.2,12.9,40.8,8.8,24.1,36.6,2016
Utah Jazz,18.9,32.6,58.2,5,11.5,43.3,3.4,9.4,36.2,9.6,25.8,37.4,2016
Washington Wizards,20.2,34.9,57.8,5.4,12.7,42.8,6.5,14.7,44.2,9.2,24.5,37.5,2016
Atlanta Hawks,20.1,35.4,56.8,3.8,9,41.7,4.8,11.6,41.4,9.9,28.2,35.2,2015
Boston Celtics,21.2,38.3,55.2,4.2,11,37.9,5.1,13.8,37.3,8.7,25.9,33.7,2015
Brooklyn Nets,20.2,37,54.5,5.6,13.7,40.8,6,15.3,39.2,6.5,18.2,35.5,2015
Charlotte Hornets,16.8,30.8,54.7,4.3,11.1,39.1,5.2,13.2,39.6,10.6,29.3,36.3,2015
Chicago Bulls,18.9,36.5,51.9,5.3,13.3,39.6,6.5,16.2,39.8,7.9,21.1,37.5,2015
Cleveland Cavaliers,19.3,33.2,58.2,4,10.7,37.4,4.6,10.5,43.9,10.7,29.5,36.3,2015
Dallas Mavericks,17,30.2,56.3,5,12.1,41.8,5.5,13.3,41.3,9.8,28.3,34.7,2015
Denver Nuggets,21.5,40.6,52.8,3.5,8.9,38.7,4.8,12.1,39.7,8,23.5,33.9,2015
Detroit Pistons,20,38.2,52.3,5,12,42,3.9,10,38.8,9,25.8,35,2015
Golden State Warriors,20.1,34.5,58.4,4.5,10.7,42.4,4.7,10.4,45.2,13.1,31.3,41.8,2015
Houston Rockets,21.4,38.2,55.9,3.1,7.5,40.7,2.6,6.8,38,10.7,30.5,35.1,2015
Indiana Pacers,18.5,31.8,58.1,4.6,11.7,39.8,7.1,18.6,38.1,8,22.7,35.3,2015
LA Clippers,17.2,28.5,60.1,4,9.4,42.6,7.4,17.7,41.7,9.5,26.1,36.6,2015
Los Angeles Lakers,16.8,32.2,52.3,5.4,13.9,39,5.1,14.2,35.9,7.7,24.2,32,2015
Memphis Grizzlies,20.1,38.9,51.8,4.9,11.8,41.5,5.6,14.4,39.2,6.1,18.2,33.4,2015
Miami Heat,20.9,35.5,59,5.5,13.3,41.2,6,14.9,40.1,6,17.8,34,2015
Milwaukee Bucks,23.9,43,55.7,4.3,11.4,38,4.7,12.3,38.6,5.3,15.2,35,2015
Minnesota Timberwolves,20.4,34.8,58.7,4,10.7,37.5,7.8,19.4,40.1,5.5,16.3,34,2015
New Orleans Pelicans,19,35.3,53.9,4.6,11.8,38.8,6.3,14.9,42,8.5,23.6,36.2,2015
New York Knicks,16.3,30.8,53,6.1,14.8,41.5,7,16.9,41.1,7.4,21.3,34.9,2015
Oklahoma City Thunder,21.5,37,57.9,6.2,12.9,48.1,5.2,12.7,40.9,8.3,23.6,35,2015
Orlando Magic,19.9,35.5,56.1,4.5,11.3,40.2,7.3,17.9,41,7.8,21.8,35.5,2015
Philadelphia 76ers,20.2,37.4,54.1,3.9,10.7,36,2.8,8.3,33.8,9.3,27.3,34.1,2015
Phoenix Suns,19.1,35.8,53.5,4.2,10.7,39.8,4.8,13.3,36.3,9,25.6,35.1,2015
Portland Trail Blazers,17.9,33.7,53.2,4.4,10.2,43.6,5.7,13.5,42.3,10.5,28.3,37.2,2015
Sacramento Kings,23.2,41.7,55.7,3.6,8.9,40.3,5.2,13.4,38.9,8,22.2,36.2,2015
San Antonio Spurs,19.5,32.3,60.2,6.7,15.5,43.4,7,16.6,42.1,6.9,18.3,37.9,2015
Toronto Raptors,19,34.8,54.8,4.8,11.9,39.9,4.2,11.3,37.3,8.6,23.1,37.4,2015
Utah Jazz,18.4,33.4,55.1,5.4,13.1,41.3,3.8,10.1,37.8,8.5,23.6,35.9,2015
Washington Wizards,19.3,33.2,58.3,5.1,12.3,41.1,6.5,16.1,40,8.6,23.9,36,2015
Atlanta Hawks,19.2,34.2,56.1,3.5,8.9,38.7,5.4,12.3,44.1,10,26.2,38.1,2014
Boston Celtics,19.1,34.9,54.9,4.7,11.5,40.8,7.1,17,41.6,8,24.4,33,2014
Brooklyn Nets,19.5,35.4,55.2,5.9,14.1,41.8,5.4,13.5,39.7,6.6,19.6,33.6,2014
Charlotte Hornets,16.2,31.8,50.9,5.6,13.9,40,7.7,19.8,39,6.1,18.9,32.2,2014
Chicago Bulls,19.1,36.2,52.8,4.2,10.9,38.3,5.4,13.5,40,7.9,22,35.7,2014
Cleveland Cavaliers,19.4,34.4,56.3,3.9,10.1,38,4.4,10.1,43.1,10,27.4,36.7,2014
Dallas Mavericks,19.8,34.4,57.7,4.4,10.4,42.5,6.5,15.6,41.8,8.9,25.3,35.3,2014
Denver Nuggets,20.7,38.8,53.3,4,10.5,38.6,5,13.2,37.9,8,24.5,32.8,2014
Detroit Pistons,21.1,41.6,50.7,3.2,8.3,38.2,4.2,11,38.6,8.6,24.6,34.8,2014
Golden State Warriors,20.2,34.3,59,5.2,12.3,42.7,5.3,13.4,39.7,10.8,26.7,40.3,2014
Houston Rockets,21.4,38.6,55.5,2.3,6.4,36.4,1.8,5.6,32.8,11.4,32.5,35,2014
Indiana Pacers,16.8,31.5,53.4,4.5,12,37.8,7.7,18.5,41.8,7.5,21,35.6,2014
Los Angeles Clippers,17,28.3,60,4.4,9.9,43.9,8,18.2,43.6,10.1,26.7,37.8,2014
Los Angeles Lakers,18.3,33,55.3,5.2,13.8,37.6,7.3,20,36.6,6.5,18.7,34.6,2014
Memphis Grizzlies,21,38.2,54.8,5.9,14.3,41.7,5.7,14.8,38.6,5.1,14.9,34.4,2014
Miami Heat,17.9,31,57.9,5,11.8,42.4,5.5,14.2,38.5,6.8,20,33.8,2014
Milwaukee Bucks,19.8,36.8,53.9,4.9,11.2,44.2,6.2,15.7,39.3,6.6,18.2,36.5,2014
Minnesota Timberwolves,19.2,35.8,53.5,5.1,12.9,39.8,7.1,19.5,36.6,4.9,14.7,33.5,2014
New Orleans Pelicans,20.9,38.8,53.8,4.3,10.8,40,5.6,14,39.8,7.1,19.1,37.4,2014
New York Knicks,14.9,29.4,50.8,5.1,12.7,40,8.3,20.2,41,6.8,19.5,35,2014
Oklahoma City Thunder,20.4,37.6,54.4,5.3,12.2,43.4,5.4,14.3,37.8,7.7,22.6,34.1,2014
Orlando Magic,20.3,37.6,54,4.5,11.5,39.4,5.9,14.2,41.6,6.8,19.3,35,2014
Philadelphia 76ers,19.7,39,50.7,2.4,7.6,31.5,3.1,9.7,32.2,8.4,26.1,32.3,2014
Phoenix Suns,19.3,34,56.8,5.9,13.7,42.9,5,13.1,38.3,8.5,24.7,34.4,2014
Portland Trail Blazers,17.5,30.5,57.4,5,12,41.6,6.4,16.3,39.3,9.8,27,36.3,2014
Sacramento Kings,20.8,39,53.4,4.5,10.6,42.2,5.8,14.6,39.5,5.6,16.3,34.5,2014
San Antonio Spurs,20.5,35.9,56.9,5.5,12.8,43.3,4.9,12.4,39.5,8.3,22.4,36.9,2014
Toronto Raptors,19.7,34.6,57,4.6,11.5,39.6,4.8,12,39.6,8.9,25,35.5,2014
Utah Jazz,19.4,34.6,56.2,3.9,10.2,38.2,4.6,12.7,36.3,7.4,21.5,34.6,2014
Washington Wizards,19,32.8,58.1,5.8,14.2,40.6,7.4,19,39,6.1,16.7,36.3,2014
Atlanta Hawks,18.3,32.5,56.4,4.8,11.4,41.7,4.9,11.8,41.2,9.4,25.6,36.5,2013
Boston Celtics,17.5,33.1,52.9,4.6,11.4,40.6,7.4,18.4,40.2,7,20.9,33.6,2013
Brooklyn Nets,16.8,30,55.9,5.3,12,43.9,5,12.5,40.5,8.6,23.1,37.3,2013
Charlotte Bobcats,18.6,33.5,55.7,5.1,12.8,39.7,6.3,17.9,35.2,6.3,17.7,35.5,2013
Chicago Bulls,17.5,33.7,51.9,4,10.9,36.5,7,17.8,39.3,6.2,17.5,35.2,2013
Cleveland Cavaliers,17.8,34.5,51.8,5.4,13.6,39.2,6.7,16.7,40.2,7.1,19.7,36.1,2013
Dallas Mavericks,18.6,31.8,58.3,6.1,14.4,42.1,6.2,14.5,42.7,8.8,22.7,38.7,2013
Denver Nuggets,21.7,39.9,54.5,3.3,9.2,36.3,4.7,12.9,36.7,8.5,23.6,36.2,2013
Detroit Pistons,24.8,45.4,54.7,3,8.5,35.7,4.8,13.7,34.8,6.2,19,32.5,2013
Golden State Warriors,19.2,34.2,56.2,4.9,12,40.7,5.9,14.4,41.2,9.4,24.6,38.4,2013
Houston Rockets,24.2,42.2,57.5,2.5,6.5,38.2,1.8,5.3,34,9.4,26.4,35.8,2013
Indiana Pacers,17.2,31.8,54.1,5.1,13.1,38.6,7,16.4,42.6,6.7,18.6,36.1,2013
Los Angeles Clippers,19.2,31.1,61.8,4.3,10.2,42.1,7.1,17.2,41.6,8.4,23.7,35.4,2013
