team,under_5_ft_fgm,under_5_ft_fga,_5to9_fgm,_5to9_fga,_10to14_fgm,_10to14_fga,_15to19_fgm,_15to19_fga,_20to24_fgm,_20to24_fga,_25to29_fgm,_25to29_fga,season
Los Angeles Lakers,16.2,27.5,3.3,8.6,2.9,7.7,4.8,12.2,6.2,15.3,4.8,13.5,2013
Memphis Grizzlies,18,30.5,5.1,12.4,3.2,7.7,5.1,12.7,4.6,12.1,2.1,6.2,2013
Miami Heat,19.3,28.7,2.8,6.2,2,4.8,4.6,10.7,6.7,16.9,2.9,8.9,2013
Milwaukee Bucks,17.1,31,3,8.5,2.5,6.5,5.3,12.8,4.2,11.9,4,11.1,2013
Minnesota Timberwolves,20.2,34.3,3.2,8.7,2.2,6.2,4.1,11.8,6.3,17.4,2.8,8.8,2013
New Orleans Pelicans,18.7,33.7,3.2,8.7,2.9,6.8,5.5,13.5,4.5,11.3,3,7.9,2013
New York Knicks,14.5,24.9,1.8,5,2.6,6.5,6.9,16,6.9,17.3,4.1,11.8,2013
Oklahoma City Thunder,17.1,27.9,3.2,7.7,3.7,8.4,5.7,13.8,6.4,16.3,2.6,8.2,2013
Orlando Magic,15.3,27,3.4,8.5,2.8,6.7,6.4,15.5,5.6,15.2,3.4,9.4,2013
Philadelphia 76ers,21,38.3,3.4,9.1,2.2,6.1,3.6,9.3,3.8,10.6,3.9,13.4,2013
Phoenix Suns,17.3,28.5,3,8.1,3.1,7.6,4.8,10.9,6.9,18.5,3.5,9.5,2013
Portland Trail Blazers,15.6,26.5,2.8,7.6,2.9,7.3,6.1,14.4,7.9,20.7,3.8,10.2,2013
Sacramento Kings,16.9,28.8,4.5,11.6,2.7,6.7,5.1,12.7,4.9,13.7,2.8,8.7,2013
San Antonio Spurs,18.6,29.2,4.3,10.2,2.2,5.7,5.7,13.6,6.6,16,3.2,8.4,2013
Toronto Raptors,15.1,25.9,3.8,9.5,2.4,6.2,5.1,12.9,5.9,15.8,4.2,11.3,2013
Utah Jazz,16.8,28.5,3.3,8.7,2.5,6.8,4.2,11.4,7.3,19.9,1.8,5.4,2013
Washington Wizards,17.2,27.5,2.9,7.6,2.7,7.2,6.3,16.4,5.7,14.7,3.8,10.3,2013
Atlanta Hawks,17.2,27.1,3,8,1.6,4.5,5.1,13.1,6.6,16.8,4.1,11.3,2012
Boston Celtics,15.5,26.9,2.5,6.4,3.4,7.6,7.2,16.4,6,14.8,2.4,7.1,2012
Brooklyn Nets,15.8,27.6,4.3,10.3,2.5,6.5,4.5,10.8,6.1,16.3,2.7,8,2012
Charlotte Bobcats,16.2,30,2.6,7.8,2.3,6.6,6.4,15.7,3.4,10.2,3.5,10.4,2012
Chicago Bulls,16.9,29.5,2.3,6.9,3.1,8.4,6.1,16.4,5,13.4,2.3,6.9,2012
Cleveland Cavaliers,15.9,29.3,3.7,10,3,8,5.5,12.6,4.5,12.6,3.9,11.2,2012
Dallas Mavericks,14.7,24.8,4.6,10.6,4.2,10.4,6.4,14.4,6,15.5,2.9,7.9,2012
Denver Nuggets,25.5,41.5,3.1,8.5,1.7,4.9,3.4,9.2,4.4,12.9,2.7,7.6,2012
Detroit Pistons,20,35.2,3.1,8.6,1.5,4.4,4.3,12,3.8,10.4,3.6,10,2012
Golden State Warriors,14.6,25.1,3.7,9.5,2.9,7.7,6.9,16.6,5.3,12,4.7,12,2012
Houston Rockets,20.5,34.4,2.4,6.7,1,3.2,2.3,6,7.5,19.3,4.3,12.7,2012
Indiana Pacers,15.7,27.6,3.8,9.6,2.6,7.2,5.1,13.2,4,11.2,3.9,11.2,2012
Los Angeles Clippers,18.6,29,3,7.3,2.4,5.5,5.2,12.7,5.6,14.8,3.7,10.9,2012
Los Angeles Lakers,17.4,29,2.8,7.5,2.3,5.5,4.1,10.3,6.2,16,4.2,12.2,2012
Memphis Grizzlies,16.3,29.9,4.2,10.9,3.3,8.2,5.3,13,4.9,12.8,2,6.3,2012
Miami Heat,17.5,26.4,2.6,6.5,2.3,5.9,5.4,12.4,7.6,17.7,2.9,8.1,2012
Milwaukee Bucks,18.2,32.8,2.5,7.9,3.1,7.9,5.7,14.8,4.5,12.4,4.1,11.6,2012
Minnesota Timberwolves,17.8,31,2.5,7.4,1.8,4.7,6.3,14.9,5.1,15.6,2.3,7.8,2012
New Orleans Hornets,16.9,30.4,4.2,10.3,2.2,5.9,4.6,11.4,4.4,11.5,3.8,10.4,2012
New York Knicks,15.3,26.6,1.6,4,1.7,4.6,5.2,12.7,8.1,20.1,4.5,12.8,2012
Oklahoma City Thunder,17.2,27.3,3.1,7.6,3.5,8.1,6.1,14.1,6,15.5,2.1,6.4,2012
Orlando Magic,17,28.8,4.1,9.5,2.9,7.4,5.6,14.4,5,13.9,3.1,10,2012
Philadelphia 76ers,15.5,27.4,3.1,7.6,3.7,8.9,7.6,19.6,4.7,12.4,2.8,7.8,2012
Phoenix Suns,16.7,28,3.2,9,2.7,7.2,6.4,15.8,5.8,16.4,2.5,7.5,2012
Portland Trail Blazers,15.8,27.3,2.5,6.2,2.6,6.1,5.2,12.8,7.4,19.4,3.2,9.6,2012
Sacramento Kings,18.5,32.2,3.9,10.1,2,5.2,4.2,11.7,6.1,16.2,2.9,8.5,2012
San Antonio Spurs,18.4,29.7,3.7,9.1,2.5,5.9,5.3,11.9,6.4,16.7,3,7.8,2012
Toronto Raptors,15.3,25.5,3.4,7.8,3.2,7.8,5.3,14.1,5.5,15.5,3.7,10.5,2012
Utah Jazz,17.1,28.7,3.7,9.4,2.5,6.5,5.6,14.2,6.2,16.7,2.1,5.9,2012
Washington Wizards,13.6,24.3,4.2,9.6,3.2,8.7,6.2,16.5,5.4,13.3,2.9,8.8,2012
Atlanta Hawks,16.3,26.9,3.2,8,1.7,4.3,5.7,14.9,6.8,18.5,3.1,8.1,2011
Boston Celtics,14.5,24.8,2.2,5.7,3.3,8.1,7.9,18.4,5.5,13.9,2,6,2011
Charlotte Bobcats,14.9,26.8,2.1,6.4,2.4,6.4,8,21,3.7,11.5,2.1,7.6,2011
Chicago Bulls,16.7,29.1,3.1,7.2,2.7,7,6.9,17.4,5.3,14.1,2.8,7.5,2011
Cleveland Cavaliers,17.5,31.9,3.3,9.9,1.7,5.2,3.6,10.4,5.6,15.9,2.6,7.8,2011
Dallas Mavericks,14.5,24,3.3,9.3,4,9.7,5.6,12.7,6.5,18.4,2.5,7.5,2011
Denver Nuggets,23.1,38.2,2.9,7.3,2.1,5,3.2,8.4,5.2,14.2,2.5,8.3,2011
Detroit Pistons,16.9,30.7,3.4,9.1,2.3,6.5,5.7,14.8,3.7,9.8,2.7,7.9,2011
Golden State Warriors,15.6,26.7,3,8.4,2.3,5.7,6.6,15.8,6,14.2,4.2,11.3,2011
Houston Rockets,16.1,27.3,3.9,10.6,2.9,7.8,6.1,14.5,5.8,14.9,2.8,8.5,2011
Indiana Pacers,15.8,29.2,4.2,10.6,3.1,8.1,5.8,14.8,3.7,10.3,3,8.1,2011
Los Angeles Clippers,16.5,26.8,2.6,6.9,1.9,4.7,6,15,6.2,16.6,3.8,10.8,2011
Los Angeles Lakers,16.3,27,4.4,10.9,3.1,7.8,5.1,12.3,5.3,13.7,2.5,8.6,2011
Memphis Grizzlies,17.1,29.6,4.4,10.7,3.5,9,5.4,14,4.3,11.8,2.1,6.4,2011
Miami Heat,17.4,28.2,3.4,8.6,3.1,7.1,6.1,15.1,5.3,14.2,1.8,5.5,2011
Milwaukee Bucks,17.6,31.1,2.9,7.8,3.1,7.5,6.3,16.1,4.4,12.3,3.5,10.3,2011
Minnesota Timberwolves,17.2,29.7,3,8.7,1.7,5.4,4.5,11,6.7,18.9,2.6,8.2,2011
New Jersey Nets,13.4,24.8,2.8,6.6,2.9,7.5,6.3,15.7,5.9,17,3,8.6,2011
New Orleans Hornets,15.3,26.8,3.9,9.8,3.5,8.7,6.7,16,3.5,9.8,1.9,5.8,2011
New York Knicks,18.1,30.3,1.8,5.8,2.1,5.4,4.3,11.8,6.6,18.4,3,8.8,2011
Oklahoma City Thunder,17.4,28.2,2.7,6.9,2.9,7.5,6.2,13.8,6.2,16.1,1.8,6.4,2011
Orlando Magic,15.9,27.2,2.8,7.1,1.3,3.9,3,8.7,6.5,16.6,5,14.2,2011
Philadelphia 76ers,14.4,24.7,4,9.8,4.8,11.9,7.8,19.4,3.4,9.2,3,8.1,2011
Phoenix Suns,15.8,25.4,3.7,9.1,2.8,7.1,6.5,14.6,6.5,17.8,2.7,8.2,2011
Portland Trail Blazers,16.5,29,2.6,6.5,2,5.9,5.6,13.8,7.5,19.2,2.1,7.2,2011
Sacramento Kings,20.3,35.5,3.5,9.9,1.8,5.2,4.2,11.5,5.4,15.8,2.5,8.2,2011
San Antonio Spurs,17.6,28.5,4.6,11.2,2.6,6.3,5,12.1,7.4,17.4,2.3,7,2011
Toronto Raptors,15.4,25.8,2.7,7.1,2.4,6,5.7,15.8,6,16.8,2,6.1,2011
Utah Jazz,19.8,32.5,4.7,11.5,2.6,7.9,5.2,14.1,4.3,12.8,1.5,4.6,2011
Washington Wizards,17.7,29.9,3.4,8.9,2.3,7,6.1,15.7,5,13.7,2.1,7.4,2011
Atlanta Hawks,13.8,22.8,4,9.1,2.2,5.8,7.3,16.4,6.5,16.5,2.5,7.5,2010
Boston Celtics,17.4,27.8,2.6,6.5,3,6.7,6.9,16.2,5.5,13.6,1.4,4.8,2010
Charlotte Bobcats,17.3,30.6,2.5,6.6,2.1,5.6,6.4,15.8,4.1,10.6,2.6,8.2,2010
Chicago Bulls,17.9,30.2,2.4,6.3,2.2,5.8,6.3,15.5,5.7,15,2.6,7.1,2010
Cleveland Cavaliers,16.1,28.1,3.7,10.4,2,6.1,5.1,12.9,5.4,14.7,2.9,8.5,2010
Dallas Mavericks,14.5,22.7,3.7,9,3.3,7.7,6.5,13.9,7.2,18.5,2.3,6.4,2010
Denver Nuggets,19.7,33.3,2.1,5.6,1.5,4,5.3,12.4,6,15.1,3.7,9.8,2010
Detroit Pistons,17.2,28.7,3.2,8.4,2.9,8,6.4,16.1,5,12.3,2.6,7.2,2010
Golden State Warriors,17.7,29.5,3.2,8.8,1.9,5.7,6.6,15.6,6,15.3,4.1,10.6,2010
Houston Rockets,17,28.7,4.2,11,2.4,6.1,5.3,12.8,6.4,16.3,3.2,9.7,2010
Indiana Pacers,15.5,26.8,3.2,8.6,2.7,7.2,6.7,16,4.6,12.4,3.8,11.4,2010
Los Angeles Clippers,19.9,32.9,2.8,7.9,1.7,4.8,4.4,11.7,4.7,13,3.3,9.7,2010
Los Angeles Lakers,17.1,27.7,4.2,10.4,3.5,7.9,5.1,12.5,5,14.4,3.1,9,2010
Memphis Grizzlies,20,33.1,5.2,12.8,2.7,6.9,5.3,13.3,4.3,11.4,1.5,4.8,2010
Miami Heat,15.4,23.6,2.9,6.8,2.3,6,6.9,15.7,7.2,17.3,2.2,6.9,2010
Milwaukee Bucks,14.1,25.7,3.3,8.9,2.9,7.5,6.4,15.9,5,12.6,2.7,8.8,2010
Minnesota Timberwolves,15.2,27.2,5,13.3,2.5,6.4,5.5,13.1,6.9,17.2,2.5,7.7,2010
New Jersey Nets,14.3,25.3,4.6,11,2.8,7.4,6.3,15.7,5.4,14.5,2.2,6.5,2010
New Orleans Hornets,14,23.9,4.2,10.2,2.9,7.5,7.5,16.7,5.2,14.1,2,5.4,2010
New York Knicks,17,27.9,3.1,8.2,2.1,5.4,4.7,11.9,7.8,18.8,3.6,11.2,2010
Oklahoma City Thunder,17.7,28.1,2.6,7.7,3.1,7.6,6.7,16.1,5.5,15,1.9,5.8,2010
Orlando Magic,15.4,24.6,2.9,7.6,2.4,5.8,4.5,10.6,6.5,16.4,4.4,12.5,2010
Philadelphia 76ers,16,26.1,3.9,9.6,4.1,10.4,7.3,17.8,4,9.9,2.8,8.2,2010
Phoenix Suns,16.6,26.2,3.5,8.9,3.3,7.5,5.3,13,7.1,18.5,3.4,9.2,2010
Portland Trail Blazers,16.8,27.8,3.2,8.5,2.8,7.3,4.9,13.3,6.8,18.3,1.5,4.8,2010
Sacramento Kings,18.5,31.1,3.5,10.1,2.8,7,6.3,16.5,5.2,13.5,1.9,6.4,2010
San Antonio Spurs,16.2,26.5,4.9,11.1,2.7,6.9,5,12,7.1,17.7,2.5,6.4,2010
Toronto Raptors,18.7,31.4,3.5,8.3,2.9,6.7,6.3,15.5,5.5,15.1,1.5,4.9,2010
Utah Jazz,17.5,28.9,3.8,9.5,2.9,7.1,5.8,14.3,5.7,15.4,1.7,4.9,2010
Washington Wizards,16.8,28.8,3.5,9.1,3,8.3,7,17.9,4.7,12.9,2,6.4,2010
Atlanta Hawks,17.4,28.2,4.3,10.2,2.2,5.5,7,16.5,5.3,14.9,2.6,7.2,2009
Boston Celtics,18.2,29.3,3.2,7.4,2.9,6.8,4.4,10.4,6.2,16.2,2.2,6.4,2009
Charlotte Bobcats,18.7,32.5,2.5,6.5,1.6,4.5,5,13.1,4.2,12,2.8,7.9,2009
Chicago Bulls,16.2,28.8,3.4,7.5,2.7,6.5,8.2,20.2,5.6,14.6,1.5,5.3,2009
Cleveland Cavaliers,18.3,28.3,3.4,7.5,1.7,4.7,4.3,11.7,7.4,18,2.6,7.4,2009
Dallas Mavericks,14.7,24.8,3.7,8.9,3.6,8.6,7.7,17.4,6.3,15.9,2.4,6.5,2009
Denver Nuggets,18.4,30,2.9,7.6,2.2,5.6,5.6,14.2,5.6,13.8,3.4,9.8,2009
Detroit Pistons,15.6,27,3.5,8.7,3.6,8.8,6.9,17.1,3.9,10.9,2.4,7.5,2009
Golden State Warriors,17.8,29.1,2.5,6.4,2.4,6.1,7.2,17,6.5,16,4.1,11.3,2009
Houston Rockets,17.3,30.8,4.3,9.8,2.1,5.8,4.6,11.6,6,16,3.4,10,2009
Indiana Pacers,15.6,27,3.1,7.5,2.5,6.3,5.6,14.6,5.1,13.7,4.8,13.7,2009
Los Angeles Clippers,17.5,29.3,3.2,7.3,2.6,7.1,5.8,14.5,4.4,12.3,3.1,9.5,2009
Los Angeles Lakers,16.6,28,4.5,10.6,3.5,8.3,5.1,12.3,5.2,13.9,3.4,10.2,2009
Memphis Grizzlies,19.7,33.1,5.1,12,2.8,7.2,5.2,12.6,4.6,12.4,1.8,5.9,2009
Miami Heat,14.6,23.3,3.3,7.4,3,7.7,7.9,19.6,5.1,14,2.4,7.2,2009
Milwaukee Bucks,14.7,26.8,3.6,8.9,2.8,7.5,6.7,15.7,5.4,14.2,4,11.9,2009
Minnesota Timberwolves,16.8,28.2,4.8,11.8,3.8,9.9,5.8,14.9,4.9,13.2,1.8,5.9,2009
New Jersey Nets,16.2,28.9,3.3,8.7,2.6,7.5,5.9,15.4,4.8,14.3,1.4,4.7,2009
New Orleans Hornets,16.7,28,3.7,8.6,3.2,8,6,14.2,6.1,15.4,2.9,9,2009
New York Knicks,17.6,29.1,2.2,5.6,1.9,4.4,5,12,7.3,19.6,4.1,12.6,2009
Oklahoma City Thunder,17.5,29.1,3.3,7.9,3.4,8.3,6.6,16.7,5.2,14.3,1.4,4.5,2009
Orlando Magic,15.6,25.1,3.7,7.9,2,5,3.5,8.6,7.2,17.7,4.6,13.1,2009
Philadelphia 76ers,16.7,27.5,3.4,8.4,3.4,9.1,6.7,15.9,4.7,12.1,2.7,8.3,2009
Phoenix Suns,17.2,27.5,4.4,9.6,2.7,6.3,5.6,13.5,7,16.4,3.7,9,2009
Portland Trail Blazers,14.8,24,3,7.2,3.2,8,6.6,16,7.4,18.8,1.3,4.2,2009
Sacramento Kings,18.1,30.8,3.8,10.1,2.4,5.5,6.2,15.8,5.9,15.5,1.9,6,2009
San Antonio Spurs,17.9,28.5,3.6,8.7,2.7,6.8,5.8,14.2,6.3,17.2,2.1,5.5,2009
Toronto Raptors,17.3,27.7,3.5,7.9,2.9,6.6,6.5,14.5,6.3,16.9,2.5,6.6,2009
Utah Jazz,20.7,33.2,2.9,7.2,2.2,5.3,6.1,14.3,5.8,15,1.6,4.8,2009
Washington Wizards,15,26.2,3.4,8.7,3,7.3,7.4,18.7,5.3,13.5,2.4,6.7,2009
Atlanta Hawks,15.1,24.6,3.9,8.9,2.6,6.3,5.4,14.3,5,12.8,4,11,2008
Boston Celtics,17.5,28.7,2.5,6.3,2.7,6.4,5.8,13.1,7.2,17.1,1.8,5.2,2008
Charlotte Bobcats,16.8,30.2,2.7,7.2,2,5,5.6,13,4.8,12.6,3.1,8.3,2008
Chicago Bulls,16.4,29,2.2,5.6,2.5,6.5,8,18.9,6.3,15.8,2.8,7.4,2008
Cleveland Cavaliers,14.7,23.5,2.5,6.4,2.2,5.8,6.1,14.6,8.4,20,3,8.1,2008
Dallas Mavericks,13.8,23.6,2.3,5.8,4.4,10.1,8.8,18.9,6.6,17,2.3,6.7,2008
Denver Nuggets,19,31.1,2.7,6.7,1.5,4.6,5.5,13.7,5.3,13.5,3.4,9.2,2008
Detroit Pistons,13.9,23.7,3,6.4,3.8,9.3,9,22,4.6,12.3,2.1,6,2008
Golden State Warriors,18.4,31.5,2.7,6.9,2.2,6,6.5,16.4,5.9,14.3,3.6,10.5,2008
Houston Rockets,15.1,26.9,4.6,10.4,2.9,7.2,4.1,10.2,5.3,13.9,4,10.5,2008
Indiana Pacers,16.7,29.4,3.1,7.7,3,7.2,6.7,16.1,4.7,12.8,4.9,12.8,2008
Los Angeles Clippers,16.9,29.6,2.9,7.5,2.4,6.3,5,13.6,5.3,13.4,3.5,10.6,2008
Los Angeles Lakers,18,29.3,4.4,10.5,3.5,8,5.5,13.4,5.6,14.3,3.3,9.2,2008
Memphis Grizzlies,15.5,27.8,4.2,10.4,2.4,6.3,5.2,12.2,5.2,13.3,2.4,6.8,2008
Miami Heat,14.5,24.1,3.3,7.8,2.7,6.8,7.4,17,6.5,18.2,2.4,6.6,2008
Milwaukee Bucks,15,26.8,3.5,8.1,3,7.8,7.2,17.7,4.8,12.6,3.1,8.9,2008
Minnesota Timberwolves,16.6,29.7,3.6,9,2.5,6.8,5.2,12.9,6,15.9,2.6,7.8,2008
New Jersey Nets,15.5,27.1,2.6,6.2,2.4,6.4,5.3,13.5,6.7,17.5,3.1,8.7,2008
New Orleans Hornets,13.9,23,3.9,8.8,3.1,8.4,6,14.7,6.3,15.4,2.2,7,2008
New York Knicks,18.1,31.8,2.5,6.3,2,5.6,3.9,10.6,7.8,19.5,4.1,12.4,2008
Oklahoma City Thunder,17.9,30.5,2.8,8.3,3.1,8.5,6.8,17.9,4.4,12.2,1.6,4.2,2008
Orlando Magic,14.5,23.7,3.3,8.3,2.6,6.3,3.9,10,7.2,18.2,4.2,11.5,2008
Philadelphia 76ers,18.9,32,2.7,7.4,3.1,8.1,6.2,15.1,3.6,10.1,2,6.4,2008
Phoenix Suns,20.6,31.5,5,11.5,2.5,6.3,5,11.5,5.2,12.9,2.8,7.5,2008
Portland Trail Blazers,15.4,25.6,3.3,7.7,2.7,6.9,5.6,13.6,8.2,20.6,1.6,4.3,2008
Sacramento Kings,15.4,26.8,3,8.2,2.5,6.1,6.2,15.2,6.8,17.1,2.6,7.7,2008
San Antonio Spurs,13.8,23.2,3.7,8.1,2.6,6.3,6.9,16.6,7.7,18.9,2.3,6.3,2008
Toronto Raptors,13.4,22.9,3.4,8,3.1,8.4,8.3,19.6,6.6,15.5,2.3,6.5,2008
Utah Jazz,19.9,33,2,5.8,2.2,5.5,6.8,15.8,6,15.6,1.6,4.7,2008
Washington Wizards,17.1,29.5,3.5,8.8,2.5,6.5,6.2,15.7,4.6,12.7,2.6,7.6,2008
Atlanta Hawks,17.1,29,3.8,9.3,2,6,7,18,3.6,9.5,2.7,7.6,2007
Boston Celtics,16.3,27.8,2.5,5.8,2.4,6,5.4,12.3,7,16.3,2.9,8.1,2007
Charlotte Bobcats,16.6,28.7,3,7.5,2.2,6.1,5.5,14.3,6,15.3,2.7,7.6,2007
Chicago Bulls,14.4,26.9,2.7,7.2,2.9,7.6,7.4,18,6.8,16.9,2.2,6.7,2007
Cleveland Cavaliers,16.4,28,2.5,6.8,2.2,6.6,5.5,14.5,6.7,18,2.5,7.4,2007
